Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,8,no,no,no
Squat,80,5,no,no,no
Squat,100,5,no,no,no
Squat,120,5,no,no,no
Squat,130,5,no,no,no
Squat,130,5,no,no,no
Squat,130,1,no,no,no
Bench Press,20,12,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,8,no,no,no
Bench Press,80,5,no,no,no
Bench Press,92.5,3,no,no,no
Bench Press,102.5,2,no,yes,no
Bench Press,102.5,2,no,yes,no
Bench Press,102.5,2,no,yes,no
Bench Press,90,6,no,no,no
Sumo Deadlift,60,5,no,no,no
Sumo Deadlift,100,5,no,no,no
Sumo Deadlift,120,5,no,no,no
Sumo Deadlift,140,3,no,no,no
