Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Standing Barbell Military Press,20,10,no,no,no
Standing Barbell Military Press,20,10,no,no,no
Standing Barbell Military Press,40,5,no,no,no
Standing Barbell Military Press,50,5,no,no,no
Standing Barbell Military Press,60,5,no,no,no
Standing Barbell Military Press,60,5,no,no,no
Standing Barbell Military Press,60,7,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,10,no,no,no
Bench Press,60,5,no,no,no
Bench Press,80,5,no,no,no
Bench Press,85,5,no,no,no
Bench Press,85,5,no,no,no
Bench Press,85,5,no,no,no
Behind the Neck Lat Pulldowns,40,20,no,no,no
Behind the Neck Lat Pulldowns,60,8,no,no,no
Behind the Neck Lat Pulldowns,70,8,no,no,no
Behind the Neck Lat Pulldowns,70,8,no,no,no
Seated Rows,70,8,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,80,8,no,no,no
